title,price,location,area_m2,rooms,bathrooms,property_type,url,garden,terrace,garage,elevator,swimming_pool,doorman,cellar,air_conditioning,heating,security,double_glazing,reinforced_door,equipped_kitchen,scraped_at
Superbe S1 à vendre aux Jardins de Carthage. Superficie 75 m...,507500.0,"Les Jardins de Carthage, Le Kram",75.0,1.0,1.0,,https://www.mubawab.tn/fr/pa/8241699/superbe-s1-%C3%A0-vendre-aux-jardins-de-carthage-superficie-75-m%C2%B2,1,0,1,0,1,0,0,1,1,0,1,1,1,2026-02-06 21:01:03
Coquet App S2 de 193 m² à la Vente,890000.0,"La Marsa, La Marsa",133.0,3.0,,,https://www.mubawab.tn/fr/pa/8012675/coquet-app-s2-de-193-m%C2%B2-%C3%A0-la-vente,1,1,1,1,0,1,0,1,1,1,1,1,1,2026-02-06 21:01:03
Fabuleux appartement S2 à vendre,640000.0,"Les Jardins de Carthage, Le Kram",129.0,2.0,,Appartement,https://www.mubawab.tn/fr/pa/8270015/fabuleux-appartement-s2-%C3%A0-vendre,0,0,0,1,0,1,0,1,1,1,1,1,1,2026-02-06 21:01:03
Somptueuse maison à vendre à Chotrana 1.5 chambres. Bien meu...,2600000.0,"Chotrana 1, La Soukra",2000.0,5.0,,Maison,https://www.mubawab.tn/fr/a/8286494/somptueuse-maison-%C3%A0-vendre-%C3%A0-chotrana-1-5-chambres-bien-meubl%C3%A9,1,0,1,0,1,1,1,1,1,1,1,1,1,2026-02-06 21:01:03
Vend appartement à Les Jardins de Carthage. 1 chambre. Fenêt...,,"Les Jardins de Carthage, Le Kram",77.0,1.0,1.0,Appartement,https://www.mubawab.tn/fr/a/8285902/vend-appartement-%C3%A0-les-jardins-de-carthage-1-chambre-fen%C3%AAtres-avec-double-vitrage-et-porte-blind%C3%A9e,0,0,1,1,0,0,0,1,1,1,1,1,1,2026-02-06 21:01:03
Appartement en vente à Aouina. Surface de 160 m². Porte blin...,330000.0,"Aouina, La Marsa",160.0,3.0,,Appartement,https://www.mubawab.tn/fr/a/8285892/appartement-en-vente-%C3%A0-aouina-surface-de-160-m%C2%B2-porte-blind%C3%A9e-s%C3%A9curit%C3%A9,0,0,1,1,0,0,0,1,1,1,1,1,1,2026-02-06 21:01:03
APT Centre Ville Tunis,160000.0,"Montfleury, Tunis",70.0,2.0,1.0,,https://www.mubawab.tn/fr/a/8293596/apt-centre-ville-tunis,0,1,0,1,0,1,0,0,0,0,0,0,0,2026-02-06 21:01:03
Le projet immobilier Résidence Emna,,"Cité el Ghazela, Raoued",,,,,https://www.mubawab.tn/fr/p/4086/le-projet-immobilier-r%C3%A9sidence-emna%C2%A0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-06 21:01:03
Appartement S2 Haut Standing à Vendre – Résidence Jneynet Mo...,240000.0,"Montfleury, Tunis",89.0,2.0,1.0,Appartement,https://www.mubawab.tn/fr/a/8290730/appartement-s2-haut-standing-%C3%A0-vendre-%E2%80%93-r%C3%A9sidence-jneynet-monfleury,0,1,1,1,0,1,0,1,1,1,1,1,1,2026-02-06 21:01:03
Villa de 500m² avec Piscine à La Marsa,1700000.0,"La Soukra, La Soukra",500.0,5.0,,Villa,https://www.mubawab.tn/fr/a/8289999/villa-de-500m%C2%B2-avec-piscine-%C3%A0-la-marsa,1,1,1,0,1,0,0,1,1,0,0,0,1,2026-02-06 21:01:03
Duplex S3 avec entrée indépendante à L'aouina,410000.0,"Aouina, La Marsa",65.0,3.0,,Duplex,https://www.mubawab.tn/fr/a/8283239/duplex-s3-avec-entr%C3%A9e-ind%C3%A9pendante-%C3%A0-l-aouina,0,1,1,0,0,1,0,1,1,0,0,0,1,2026-02-06 21:01:03
Villa inachevé chotrana 2,1400000.0,"Chotrana 2, La Soukra",1000.0,3.0,,Villa,https://www.mubawab.tn/fr/a/8053464/villa-inachev%C3%A9-chotrana-2,1,1,1,0,1,0,0,1,1,1,1,1,1,2026-02-06 21:01:03
Maison à l'achat à Ben Arous. 5 belles chambres. Jardin et t...,,"Ben Arous, Ben Arous",607.0,5.0,,Maison,https://www.mubawab.tn/fr/a/8261527/maison-%C3%A0-l-achat-%C3%A0-ben-arous-5-belles-chambres-jardin-et-terrasse,1,1,0,0,0,0,1,0,0,0,0,0,0,2026-02-06 21:01:03
Appartement s3 à manar 1,310000.0,"El Manar 1, El Menzah",140.0,3.0,,Appartement,https://www.mubawab.tn/fr/a/8003736/appartement-s3-%C3%A0-manar-1,0,1,0,1,0,1,0,1,1,1,0,1,0,2026-02-06 21:01:03
S1 – Résidence L’ULTIME Projet Diar Rached,,"Les Jardins de Carthage, Le Kram",63.0,1.0,1.0,,https://www.mubawab.tn/fr/pa/8106947/s1-%E2%80%93-r%C3%A9sidence-l%E2%80%99ultime-projet-diar-rached,0,1,0,1,1,0,0,1,1,1,1,1,1,2026-02-06 21:01:03
Opportunité d'un S2 de 118m² au 1er etage à vendre,,"Ain Zaghouan, La Marsa",118.0,2.0,1.0,,https://www.mubawab.tn/fr/pa/8270415/opportunit%C3%A9-d-un-s2-de-118m%C2%B2-au-1er-etage-%C3%A0-vendre,0,0,1,1,0,1,0,1,1,1,1,1,1,2026-02-06 21:01:03
A vendre appartement s1 sur plan,285000.0,"Khezama Est, Khezama Est",62.0,1.0,1.0,Appartement,https://www.mubawab.tn/fr/a/8277466/a-vendre-appartement-s1-sur-plan,0,0,1,1,0,1,0,1,1,1,1,1,1,2026-02-06 21:01:03
A Vendre Appartement S2 A La Nouvelle Soukra,380000.0,"Aouina, La Marsa",93.0,2.0,1.0,Appartement,https://www.mubawab.tn/fr/a/8296109/a-vendre-appartement-s2-a-la-nouvelle-soukra,0,0,0,0,0,0,0,0,1,0,0,0,0,2026-02-06 21:01:03
Appartement s1 à vendre au Bardo,100000.0,"Le Bardo, Le Bardo",33.0,1.0,1.0,Appartement,https://www.mubawab.tn/fr/a/8298828/appartement-s1-%C3%A0-vendre-au-bardo,0,0,1,0,0,1,0,0,1,1,0,1,0,2026-02-06 21:01:03
S3 avec un grand terrasse à vendre à la Mannouba,,"Denden, La Manouba",155.0,3.0,1.0,,https://www.mubawab.tn/fr/a/8256297/s3-avec-un-grand-terrasse-%C3%A0-vendre-%C3%A0-la-mannouba,0,1,1,1,0,1,0,0,1,1,0,0,1,2026-02-06 21:01:03
S2 à vendre à l'Aouina,355000.0,"Aouina, La Marsa",128.0,2.0,1.0,,https://www.mubawab.tn/fr/a/8285088/s2-%C3%A0-vendre-%C3%A0-l-aouina,0,1,1,0,0,0,0,0,1,0,0,0,1,2026-02-06 21:01:03
S3 de 147m² Neuf à El Omrane 16 Riadh El Ghazela,407000.0,"Cité el Ghazela, Raoued",147.0,3.0,,,https://www.mubawab.tn/fr/pa/8164036/s3-de-147m%C2%B2-neuf-%C3%A0-el-omrane-16-riadh-el-ghazela,0,0,0,1,0,0,0,1,1,1,1,0,1,2026-02-06 21:01:03
S2 moderne a vendre,617200.0,"Ain Zaghouan Nord, La Marsa",126.0,2.0,,,https://www.mubawab.tn/fr/pa/8243698/s2-moderne-a-vendre,0,0,1,0,1,0,0,1,1,0,1,1,1,2026-02-06 21:01:03
Appartement de très haut standing A01 à Vendre,686653.0,"Chotrana 1, La Soukra",106.0,2.0,,Appartement,https://www.mubawab.tn/fr/pa/8257516/appartement-de-tr%C3%A8s-haut-standing-a01-%C3%A0-vendre,1,0,1,1,0,1,0,1,1,1,1,1,1,2026-02-06 21:01:03
RDC indépendant et Standing,320000.0,"Skanes, Monastir Ville",150.0,3.0,1.0,,https://www.mubawab.tn/fr/a/8290994/rdc-ind%C3%A9pendant-et-standing,1,0,1,0,0,0,0,1,0,1,0,0,1,2026-02-06 21:01:04
Villa S4 neuve jardin&piscine à louer à Gammath,2100000.0,"Gammarth, La Marsa",331.0,4.0,,Villa,https://www.mubawab.tn/fr/a/8238962/villa-s4-neuve-jardin-piscine-%C3%A0-louer-%C3%A0-gammath,1,1,1,0,1,0,1,1,1,1,1,1,1,2026-02-06 21:01:04
"Direct proprietaire, Appartement S1 meublé 92 m²",185000.0,"Sousse Jaouhara, Sousse Jaouhara",92.0,1.0,1.0,Appartement,https://www.mubawab.tn/fr/a/8298934/direct-proprietaire-appartement-s1-meubl%C3%A9-92-m%C2%B2,0,0,1,1,0,0,0,1,1,1,0,0,1,2026-02-06 21:01:04
Duplex en vente,372000.0,"Khezama Est, Khezama Est",140.0,2.0,,Duplex,https://www.mubawab.tn/fr/a/8204556/duplex-en-vente,0,1,0,1,0,1,0,1,1,1,0,1,1,2026-02-06 21:01:04
